"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 04 16:39:26 CLST 2024","Mon Mar 04 16:39:47 CLST 2024","20834","","template spec","","","","click preguntas frecuentes",""
"passed","Mon Mar 04 16:39:47 CLST 2024","Mon Mar 04 16:39:57 CLST 2024","9525","","template spec","","","","click terminos y condiciones",""
